what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.6.2,org.tigris.subversion.subclipse.core,1244452178775
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1244452178775
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244452186824
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244452202719
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1244452202797
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1244452202797
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1244452202844
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1244452202954
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1244452203157
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1244452203298
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1244452203298
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1244452203298
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1244452203314
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1244452203314
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1244452203329
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1244452203329
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.7,org.tigris.subversion.subclipse.graph,1244452203329
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1244452203329
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.2,org.tigris.subversion.subclipse.ui,1244452203329
stopped,bundle,org.python.pydev.customizations,1.4.6.2788,org.python.pydev.customizations,1244452203329
stopped,bundle,org.python.pydev.debug,1.4.6.2788,org.python.pydev.debug,1244452203329
stopped,bundle,org.python.pydev.refactoring,1.4.6.2788,org.python.pydev.refactoring,1244452203329
stopped,bundle,org.python.pydev.templates,1.4.6.2788,org.python.pydev.templates,1244452203329
stopped,bundle,org.python.pydev,1.4.6.2788,org.python.pydev,1244452203329
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1244452203392
